body_length,subject_length,link_count,has_links,urgency_score,subject_urgency,caps_count,label
58,25,0,0,0,0,3,0
1608,32,0,0,1,0,3,0
171,42,0,0,0,0,5,0
58,25,0,0,0,0,3,0
58,25,0,0,0,0,3,0
58,23,0,0,0,0,2,0
566,6,0,0,1,0,2,0
56,31,0,0,0,0,3,0
260,30,0,0,0,0,1,0
56,27,0,0,0,0,3,0
472,54,0,0,0,0,1,0
58,37,0,0,0,0,4,0
58,32,0,0,0,0,6,0
66,42,0,0,0,0,4,0
167,32,0,0,0,0,8,0
58,24,0,0,0,0,2,0
156,75,0,0,0,0,2,0
742,39,0,0,0,0,7,0
58,27,0,0,0,0,3,0
102,36,0,0,0,0,3,0
286,30,0,0,0,0,3,0
143,39,0,0,0,0,4,0
58,27,0,0,0,0,3,0
117,58,0,0,0,0,8,0
616,19,0,0,0,0,0,0
521,43,0,0,0,0,10,0
58,27,0,0,0,0,3,0
357,39,0,0,0,0,7,0
1650,22,0,0,1,0,2,0
58,27,0,0,0,0,3,0
58,26,0,0,0,0,3,0
379,39,0,0,0,0,7,0
1012,30,0,0,1,0,1,0
379,39,0,0,0,0,7,0
863,42,0,0,1,0,1,0
370,16,0,0,0,0,0,0
384,39,0,0,0,0,7,0
2255,53,0,0,2,0,1,0
619,37,0,0,0,0,9,0
543,42,0,0,0,0,5,0
381,40,0,0,0,0,7,0
58,32,0,0,0,0,5,0
58,27,0,0,0,0,3,0
290,41,0,0,0,0,2,0
58,27,0,0,0,0,3,0
217,22,0,0,2,0,2,0
85,42,0,0,0,0,4,0
61,41,0,0,0,0,4,0
58,27,0,0,0,0,3,0
58,27,0,0,0,0,3,0
107,41,0,0,0,0,4,0
58,29,0,0,0,0,5,0
66,42,0,0,0,0,4,0
58,30,0,0,0,0,3,0
58,27,0,0,0,0,4,0
253,46,0,0,0,0,6,0
374,39,0,0,0,0,7,0
379,35,0,0,0,0,5,0
58,29,0,0,0,0,3,0
58,26,0,0,0,0,3,0
81,35,0,0,0,0,3,0
58,30,0,0,0,0,3,0
58,27,0,0,0,0,3,0
582,34,0,0,0,0,6,0
53,42,0,0,0,0,4,0
379,35,0,0,0,0,5,0
326,47,0,0,0,0,6,0
34,42,0,0,0,0,4,0
58,30,0,0,0,0,3,0
58,31,0,0,0,0,6,0
58,28,0,0,0,0,6,0
376,35,0,0,0,0,5,0
53,39,0,0,0,0,5,0
208,45,0,0,0,0,6,0
49,41,0,0,0,0,4,0
117,70,0,0,0,0,11,0
513,44,0,0,0,0,2,0
58,28,0,0,0,0,4,0
52,42,0,0,0,0,4,0
58,29,0,0,0,0,3,0
58,30,0,0,0,0,3,0
181,37,0,0,0,0,5,0
58,29,0,0,0,0,3,0
285,44,0,0,0,0,2,0
58,29,0,0,0,0,3,0
52,38,0,0,0,0,4,0
58,26,0,0,0,0,6,0
210,47,0,0,0,0,6,0
52,42,0,0,0,0,4,0
69,66,0,0,0,0,7,0
1030,61,0,0,0,0,9,0
69,66,0,0,0,0,7,0
58,38,0,0,0,0,4,0
52,42,0,0,0,0,4,0
195,47,0,0,0,0,6,0
52,42,0,0,0,0,4,0
58,39,0,0,0,0,4,0
58,27,0,0,0,0,3,0
58,30,0,0,0,0,3,0
64,42,0,0,0,0,4,0
58,38,0,0,0,0,4,0
608,52,0,0,0,0,7,0
58,30,0,0,0,0,3,0
250,32,0,0,0,0,8,0
58,30,0,0,0,0,3,0
443,52,0,0,0,0,9,0
58,50,0,0,0,0,9,0
52,41,0,0,0,0,4,0
58,48,0,0,0,0,4,0
52,41,0,0,0,0,4,0
52,41,0,0,0,0,4,0
244,45,0,0,0,0,6,0
67,36,0,0,0,0,6,0
48,41,0,0,0,0,4,0
58,39,0,0,0,0,3,0
58,31,0,0,0,0,3,0
68,36,0,0,0,0,6,0
58,27,0,0,0,0,3,0
48,41,0,0,0,0,4,0
58,45,0,0,0,0,6,0
58,37,0,0,0,0,4,0
58,44,0,0,0,0,6,0
321,17,0,0,1,0,2,0
70,41,0,0,0,0,4,0
138,12,0,0,0,0,2,0
58,29,0,0,0,0,3,0
58,27,0,0,0,0,6,0
52,41,0,0,0,0,4,0
58,34,0,0,0,0,7,0
34,41,0,0,0,0,4,0
163,46,0,0,0,0,6,0
58,32,0,0,0,0,5,0
286,44,0,0,0,0,2,0
473,52,0,0,0,0,10,0
355,37,0,0,0,0,3,0
58,37,0,0,0,0,4,0
515,54,0,0,0,0,3,0
378,10,0,0,1,0,1,0
72,36,0,0,0,0,6,0
72,36,0,0,0,0,6,0
197,46,0,0,0,0,6,0
34,41,0,0,0,0,4,0
58,36,0,0,0,0,6,0
33,41,0,0,0,0,4,0
58,29,0,0,0,0,3,0
515,44,0,0,0,0,2,0
2356,4,0,0,0,0,1,0
58,29,0,0,0,0,3,0
72,36,0,0,0,0,6,0
58,29,0,0,0,0,3,0
58,44,0,0,0,0,6,0
72,36,0,0,0,0,6,0
58,27,0,0,0,0,3,0
463,39,0,0,0,0,7,0
58,33,0,0,0,0,3,0
56,28,0,0,0,0,3,0
220,46,0,0,0,0,6,0
125,28,0,0,0,0,6,0
805,52,0,0,0,0,5,0
84,40,0,0,0,0,4,0
56,28,0,0,0,0,3,0
49,41,0,0,0,0,4,0
1189,20,0,0,0,0,0,0
358,39,0,0,0,0,8,0
1568,57,0,0,0,0,6,0
58,29,0,0,0,0,3,0
137,28,0,0,0,0,6,0
84,40,0,0,0,0,4,0
58,27,0,0,0,0,3,0
84,40,0,0,0,0,4,0
84,40,0,0,0,0,4,0
56,28,0,0,0,0,3,0
515,43,0,0,0,0,2,0
117,34,0,0,0,0,7,0
357,39,0,0,0,0,3,0
52,40,0,0,0,0,5,0
154,25,0,0,0,0,6,0
52,43,0,0,0,0,4,0
80,43,0,0,0,0,4,0
76,43,0,0,0,0,4,0
297,55,0,0,0,0,6,0
575,39,0,0,0,0,7,0
342,48,0,0,0,0,6,0
297,70,0,0,0,0,9,0
120,28,0,0,0,0,6,0
52,40,0,0,0,0,5,0
102,43,0,0,0,0,4,0
56,28,0,0,0,0,4,0
56,28,0,0,0,0,3,0
154,25,0,0,0,0,6,0
56,31,0,0,0,0,3,0
56,28,0,0,0,0,4,0
29,40,0,0,0,0,5,0
695,55,0,0,0,0,8,0
56,28,0,0,0,0,4,0
174,45,0,0,0,0,7,0
170,28,0,0,0,0,0,0
73,10,0,0,0,0,0,0
56,28,0,0,0,0,4,0
56,28,0,0,0,0,4,0
74,58,0,0,0,0,5,0
58,28,0,0,0,0,3,0
56,28,0,0,0,0,4,0
56,28,0,0,0,0,4,0
84,40,0,0,0,0,5,0
25,40,0,0,0,0,5,0
56,28,0,0,0,0,4,0
878,60,0,0,0,0,10,0
16,38,0,0,0,0,5,0
84,40,0,0,0,0,5,0
58,32,0,0,0,0,5,0
77,40,0,0,0,0,5,0
558,45,0,0,0,0,6,0
56,43,0,0,0,0,7,0
56,27,0,0,0,0,4,0
58,26,0,0,0,0,3,0
118,39,0,0,0,0,8,0
56,27,0,0,0,0,4,0
79,39,0,0,0,0,5,0
56,42,0,0,0,0,7,0
29,39,0,0,0,0,5,0
60,28,0,0,0,0,4,0
56,28,0,0,0,0,4,0
1110,55,0,0,0,0,8,0
274,44,0,0,0,0,7,0
85,40,0,0,0,0,5,0
358,40,0,0,0,0,3,0
58,27,0,0,0,0,3,0
84,39,0,0,0,0,5,0
56,28,0,0,0,0,3,0
313,45,0,0,0,0,6,0
56,28,0,0,0,0,3,0
84,55,0,0,0,0,7,0
58,27,0,0,0,0,3,0
137,32,0,0,0,0,7,0
84,42,0,0,0,0,5,0
84,40,0,0,0,0,4,0
708,45,0,0,0,0,5,0
84,40,0,0,0,0,4,0
1535,45,0,0,1,0,5,0
519,33,0,0,0,0,3,0
56,50,0,0,0,0,7,0
56,30,0,0,0,0,3,0
741,55,0,0,0,0,7,0
56,28,0,0,0,0,3,0
358,40,0,0,0,0,3,0
56,42,0,0,0,0,7,0
408,46,0,0,0,0,6,0
85,40,0,0,0,0,4,0
80,40,0,0,0,0,4,0
102,40,0,0,0,0,4,0
84,40,0,0,0,0,4,0
80,40,0,0,0,0,4,0
56,28,0,0,0,0,3,0
209,55,0,0,0,0,7,0
117,51,0,0,0,0,11,0
74,34,0,0,0,0,3,0
81,40,0,0,0,0,4,0
238,55,0,0,0,0,7,0
56,28,0,0,0,0,3,0
56,37,0,0,0,0,4,0
56,28,0,0,0,0,3,0
56,28,0,0,0,0,3,0
56,28,0,0,0,0,3,0
56,28,0,0,0,0,3,0
56,28,0,0,0,0,3,0
30,50,0,0,0,0,7,0
56,43,0,0,0,0,6,0
267,45,0,0,0,0,6,0
56,28,0,0,0,0,3,0
330,50,0,0,0,0,7,0
58,27,0,0,0,0,3,0
127,36,0,0,0,0,5,0
300,45,0,0,0,0,6,0
625,54,0,0,0,0,7,0
80,39,0,0,0,0,4,0
1381,38,0,0,0,0,3,0
56,27,0,0,0,0,3,0
408,70,0,0,0,0,11,0
56,27,0,0,0,0,3,0
94,47,0,0,0,0,6,0
163,28,0,0,0,0,3,0
966,43,0,0,0,0,5,0
56,27,0,0,0,0,3,0
56,27,0,0,0,0,3,0
58,32,0,0,0,0,5,0
56,28,0,0,0,0,3,0
48,54,0,0,0,0,7,0
56,28,0,0,0,0,3,0
56,27,0,0,0,0,3,0
266,40,0,0,0,0,4,0
81,39,0,0,0,0,4,0
80,39,0,0,0,0,4,0
56,28,0,0,0,0,3,0
876,48,0,0,0,0,7,0
80,38,0,0,0,0,4,0
56,26,0,0,0,0,3,0
79,38,0,0,0,0,4,0
56,26,0,0,0,0,3,0
509,46,0,0,0,0,5,0
155,35,0,0,0,0,1,0
516,30,0,0,0,0,3,0
56,26,0,0,0,0,3,0
76,38,0,0,0,0,4,0
56,26,0,0,0,0,3,0
56,42,0,0,0,0,6,0
81,38,0,0,0,0,4,0
254,43,0,0,0,0,6,0
56,41,0,0,0,0,6,0
56,26,0,0,0,0,3,0
329,43,0,0,0,0,6,0
80,38,0,0,0,0,4,0
585,38,0,0,0,0,3,0
56,26,0,0,0,0,3,0
258,40,0,0,0,0,4,0
56,34,0,0,0,0,4,0
1114,38,0,0,0,0,4,0
80,38,0,0,0,0,4,0
56,26,0,0,0,0,3,0
403,9,0,0,0,0,0,0
58,27,0,0,0,0,3,0
1110,48,0,0,0,0,4,0
58,27,0,0,0,0,3,0
76,38,0,0,0,0,4,0
56,27,0,0,0,0,3,0
369,31,0,0,0,0,2,0
56,38,0,0,0,0,4,0
80,38,0,0,0,0,4,0
77,38,0,0,0,0,4,0
56,41,0,0,0,0,6,0
80,38,0,0,0,0,4,0
78,32,0,0,0,0,3,0
92,39,0,0,0,0,5,0
63,32,0,0,0,0,3,0
56,26,0,0,0,0,3,0
358,40,0,0,0,0,3,0
56,25,0,0,0,0,3,0
56,26,0,0,0,0,3,0
56,25,0,0,0,0,3,0
81,38,0,0,0,0,4,0
181,38,0,0,0,0,4,0
80,38,0,0,0,0,4,0
288,39,0,0,0,0,2,0
56,26,0,0,0,0,3,0
48,52,0,0,0,0,7,0
56,27,0,0,0,0,3,0
56,26,0,0,0,0,3,0
233,49,0,0,0,0,5,0
153,38,0,0,0,0,4,0
56,39,0,0,0,0,5,0
64,32,0,0,0,0,3,0
80,37,0,0,0,0,4,0
134,49,0,0,0,0,5,0
56,35,0,0,0,0,4,0
228,43,0,0,0,0,6,0
58,27,0,0,0,0,3,0
714,9,0,0,1,0,3,0
78,32,0,0,0,0,3,0
56,26,0,0,0,0,3,0
56,26,0,0,0,0,3,0
106,32,0,0,0,0,3,0
307,20,0,0,0,0,0,0
56,26,0,0,0,0,3,0
56,26,0,0,0,0,3,0
175,9,0,0,1,0,1,0
32,14,0,0,0,0,1,0
508,21,0,0,0,0,2,0
80,32,0,0,0,0,3,0
89,40,0,0,0,0,5,0
216,40,0,0,0,0,4,0
58,33,0,0,0,0,5,0
56,26,0,0,0,0,3,0
56,27,0,0,0,0,3,0
60,32,0,0,0,0,3,0
47,32,0,0,0,0,3,0
56,26,0,0,0,0,3,0
89,32,0,0,0,0,3,0
88,38,0,0,0,0,4,0
101,35,0,0,0,0,3,0
56,27,0,0,0,0,3,0
85,32,0,0,0,0,3,0
81,38,0,0,0,0,4,0
56,26,0,0,0,0,3,0
58,28,0,0,0,0,3,0
56,27,0,0,0,0,3,0
56,26,0,0,0,0,3,0
90,38,0,0,0,0,4,0
56,27,0,0,0,0,3,0
56,35,0,0,0,0,4,0
228,42,0,0,0,0,6,0
42,42,0,0,0,0,5,0
104,31,0,0,0,0,3,0
90,37,0,0,0,0,4,0
56,58,0,0,0,0,7,0
627,11,0,0,0,0,4,0
56,26,0,0,0,0,3,0
56,27,0,0,0,0,3,0
56,25,0,0,0,0,3,0
355,37,0,0,0,0,3,0
152,45,0,0,0,0,5,0
86,37,0,0,0,0,4,0
88,32,0,0,0,0,3,0
56,25,0,0,0,0,3,0
190,40,0,0,0,0,4,0
56,25,0,0,0,0,3,0
90,36,0,0,0,0,3,0
90,37,0,0,0,0,4,0
56,25,0,0,0,0,3,0
56,27,0,0,0,0,3,0
356,37,0,0,0,0,3,0
370,31,0,0,0,0,2,0
33,31,0,0,0,0,3,0
206,42,0,0,0,0,5,0
58,24,0,0,0,0,3,0
58,26,0,0,0,0,3,0
540,46,0,0,0,0,6,0
58,26,0,0,0,0,3,0
657,39,0,0,0,0,7,0
600,46,0,0,0,0,6,0
191,39,0,0,0,0,3,0
522,43,0,0,0,0,10,0
380,39,0,0,0,0,7,0
656,39,0,0,0,0,7,0
144,39,0,0,0,0,4,0
58,24,0,0,0,0,3,0
358,39,0,0,0,0,7,0
380,39,0,0,0,0,7,0
382,40,0,0,0,0,7,0
385,39,0,0,0,0,7,0
743,39,0,0,0,0,7,0
425,52,0,0,0,0,12,0
474,52,0,0,0,0,10,0
380,35,0,0,0,0,5,0
380,35,0,0,0,0,5,0
378,38,0,0,0,0,6,0
583,34,0,0,0,0,6,0
377,35,0,0,0,0,5,0
375,39,0,0,0,0,7,0
385,35,0,0,0,0,5,0
58,28,0,0,0,0,3,0
58,30,0,0,0,0,5,0
58,26,0,0,0,0,3,0
538,29,0,0,0,0,4,0
538,29,0,0,0,0,4,0
380,35,0,0,0,0,5,0
58,26,0,0,0,0,3,0
58,30,0,0,0,0,3,0
58,26,0,0,0,0,3,0
464,35,0,0,0,0,2,0
1151,40,0,0,1,0,7,0
58,34,0,0,0,0,4,0
446,52,0,0,0,0,10,0
58,24,0,0,0,0,3,0
385,40,0,0,0,0,7,0
58,26,0,0,0,0,3,0
124,71,0,0,0,0,11,0
58,30,0,0,0,0,3,0
1940,10,0,0,1,0,0,0
38,42,0,0,0,0,4,0
483,33,0,0,0,0,6,0
58,38,0,0,0,0,4,0
290,41,0,0,0,0,2,0
58,37,0,0,0,0,7,0
58,37,0,0,0,0,7,0
58,24,0,0,0,0,3,0
542,29,0,0,0,0,4,0
160,47,0,0,0,0,8,0
115,44,0,0,0,0,6,0
58,45,0,0,0,0,6,0
643,36,0,0,0,0,4,0
58,65,0,0,0,0,7,0
489,33,0,0,0,0,6,0
556,26,0,0,0,0,1,0
58,32,0,0,0,0,3,0
1506,20,0,0,0,0,5,0
118,45,0,0,0,0,6,0
58,29,0,0,0,0,3,0
58,29,0,0,0,0,3,0
608,20,0,0,0,0,5,0
58,30,0,0,0,0,3,0
58,30,0,0,0,0,3,0
58,63,0,0,0,0,7,0
58,30,0,0,0,0,6,0
528,19,0,0,0,0,5,0
462,33,0,0,0,0,6,0
58,30,0,0,0,0,3,0
734,31,0,0,1,0,3,0
348,30,0,0,0,0,3,0
463,22,0,0,0,0,1,0
58,29,0,0,0,0,3,0
58,29,0,0,0,0,3,0
25,41,0,0,0,0,4,0
25,41,0,0,0,0,4,0
58,29,0,0,0,0,3,0
58,29,0,0,0,0,3,0
31,46,0,0,0,0,6,0
